Datetime,header,id,temperature
7/26/2024 10:49:34,1,28ec3d97,20.0
7/26/2024 10:59:7,1,28ec3d97,21.875
7/26/2024 11:9:19,1,28ec3d97,22.875
7/26/2024 11:19:20,1,28ec3d97,21.4375
7/26/2024 11:29:11,1,28ec3d97,20.6875
7/26/2024 11:38:58,1,28ec3d97,21.375
7/26/2024 11:48:43,1,28ec3d97,22.0625
7/26/2024 11:58:29,1,28ec3d97,21.6875
7/26/2024 12:8:14,1,28ec3d97,21.5
7/26/2024 12:17:59,1,28ec3d97,24.8125
7/26/2024 12:27:43,1,28ec3d97,21.25
7/26/2024 12:37:27,1,28ec3d97,22.1875
7/26/2024 12:47:10,1,28ec3d97,22.3125
7/26/2024 12:56:53,1,28ec3d97,22.625
7/26/2024 13:6:37,1,28ec3d97,22.75
7/26/2024 13:16:20,1,28ec3d97,25.5625
7/26/2024 13:26:3,1,28ec3d97,23.25
7/26/2024 13:35:46,1,28ec3d97,23.625
7/26/2024 13:45:31,1,28ec3d97,24.0
