Datetime,header,id,temperature
7/26/2024 10:58:22,1,284d4697,20.3125
7/26/2024 11:3:13,1,284d4697,22.0625
7/26/2024 11:8:6,1,284d4697,21.25
7/26/2024 11:12:58,1,284d4697,20.875
7/26/2024 11:17:52,1,284d4697,20.75
7/26/2024 11:22:45,1,284d4697,20.625
7/26/2024 11:27:38,1,284d4697,20.625
7/26/2024 11:32:31,1,284d4697,20.75
7/26/2024 11:37:32,1,284d4697,21.3125
7/26/2024 11:42:31,1,284d4697,21.125
7/26/2024 11:47:31,1,284d4697,21.0625
7/26/2024 11:52:29,1,284d4697,21.0625
7/26/2024 11:57:27,1,284d4697,21.0625
7/26/2024 12:2:24,1,284d4697,21.125
7/26/2024 12:7:21,1,284d4697,21.125
7/26/2024 12:12:17,1,284d4697,21.125
7/26/2024 12:17:14,1,284d4697,21.125
7/26/2024 12:22:9,1,284d4697,21.125
7/26/2024 12:27:5,1,284d4697,21.125
7/26/2024 12:32:1,1,284d4697,21.125
7/26/2024 12:36:56,1,284d4697,21.125
7/26/2024 12:41:52,1,284d4697,21.0625
7/26/2024 12:46:48,1,284d4697,21.125
7/26/2024 12:51:43,1,284d4697,21.125
7/26/2024 12:56:39,1,284d4697,21.0625
7/26/2024 13:1:35,1,284d4697,21.0625
7/26/2024 13:6:31,1,284d4697,21.0625
7/26/2024 13:11:27,1,284d4697,21.0625
7/26/2024 13:16:23,1,284d4697,21.125
7/26/2024 13:21:18,1,284d4697,21.125
7/26/2024 13:26:14,1,284d4697,21.125
7/26/2024 13:31:10,1,284d4697,21.125
7/26/2024 13:36:6,1,284d4697,21.1875
7/26/2024 13:41:2,1,284d4697,21.1875
7/26/2024 13:45:58,1,284d4697,21.1875
7/26/2024 13:50:54,1,284d4697,21.0625
7/26/2024 13:55:49,1,284d4697,21.75
7/26/2024 13:58:13,1,284d4697,20.625
