Datetime,header,id,temperature
7/26/2024 11:37,1,28931897,21.75
7/26/2024 11:42,1,28931897,21.75
7/26/2024 11:47,1,28931897,21.8125
7/26/2024 11:52,1,28931897,21.75
7/26/2024 11:57,1,28931897,21.75
7/26/2024 12:02,1,28931897,21.875
7/26/2024 12:07,1,28931897,21.875
7/26/2024 12:12,1,28931897,21.875
7/26/2024 12:17,1,28931897,22.0625
7/26/2024 12:22,1,28931897,21.875
7/26/2024 12:26,1,28931897,21.75
7/26/2024 12:31,1,28931897,21.875
7/26/2024 12:36,1,28931897,22
7/26/2024 12:41,1,28931897,21.875
7/26/2024 12:46,1,28931897,21.875
7/26/2024 12:51,1,28931897,21.8125
7/26/2024 12:56,1,28931897,21.875
7/26/2024 13:01,1,28931897,21.6875
7/26/2024 13:06,1,28931897,21.75
7/26/2024 13:11,1,28931897,21.8125
7/26/2024 13:16,1,28931897,21.625
7/26/2024 13:20,1,28931897,21.9375
7/26/2024 13:25,1,28931897,21.875
7/26/2024 13:30,1,28931897,21.9375
7/26/2024 13:35,1,28931897,21.9375
7/26/2024 13:40,1,28931897,21.9375
7/26/2024 13:45,1,28931897,22.0625
7/26/2024 13:50,1,28931897,21.625
